Kamau Brathwaite,kbrathwaite,"poet, historian",,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country
"Mysore, India",1982,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1983,"""Edward Kamau Brathwaite,"" Contemporary Poets",University of Mysore,,,mysore_india,,India,
"Worcester, Massachusetts, USA",1983,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,,,Holy Cross College,,,worcester_massachusetts_usa,Massachusettes,USA,
"London, England",1984,,"Mackey, 56",,,,London Black Book Fair,,,london_england,,England,
"Bridgetown, Barbados",1987,,Central Bank of Barbados ,,1987,"""Edward Kamau Brathwaite,"" Contemporary Poets",Gives annual Sir Winston Scott Memorial Lecture; City ambiguous ,,,bridgetown_barbados,,Barbados,
"Cambridge, Massachusetts, USA",1987,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1988,"""Edward Kamau Brathwaite,"" Contemporary Poets","visiting fellow, Harvard",,,cambridge_massachusetts_usa,Massachusettes,USA,
"New Haven, Connecticut, USA",1988,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1988,"Breiner, Laurence A. ",Yale University,,,new_haven_connecticut_usa,Connecticut,USA,
"Mona, Jamaica",1988,,"Breiner, Laurence A. ",,,,Lives in Jamaica until 1991. Home destroyed during Hurricane Gilbert (1988).,,,mona_jamaica,,Jamaica,
"Santa Cruz, California, USA",1990-04-05,,"Mackey, 42",,,,"Mackey interview, while Brathwaite was Regents' Professor at UC Santa Cruz",,,santa_cruz_california_usa,California,USA,
"New York, New York, USA",1991-09,,"Breiner, Laurence A. ",,,,Leaves Jamaica for NYU (splits time w/ Caribbean home),,,new_york_new_york_usa,New York,USA,
"Manhattan, New York, USA",1993-11-18,,"Brathwaite, ConVERSations, front matter",,1993,"Brathwaite, ConVERSations, front matter",Conversation with Nathaniel Mackey at Poets House ,,,manhattan_new_york_usa,New York,USA,
"Orange, New Jersey, USA",1994,,"Ngũgĩ wa Thiong'o, pg. 677",,1994,"Ngũgĩ wa Thiong'o, pg. 677",Attended celebration for birth of Ngũgĩ wa Thiong'o's child (Spring 1994),,,orange_new_jersey_usa,New Jersey,United States,
"New York, New York, USA",1994,,"Breiner, Laurence A. ",,,,Leaves Jamaica for NYU (splits time w/ Caribbean home),,,new_york_new_york_usa,New York,USA,
"Memphis, Tennessee, USA",1996-11-20,,"Brathwaite ""Note(s) on Caribbean Cosmology""",,,,"Conference at the University of Memphis, ""The Caribbean: South of the South""",,,memphis_tennessee_usa,Tennessee,USA,
"CowPastor, Barbados",,1997-08-01,"Brathwaite, ConVERSations",1997-08-29,,"Brathwaite, ConVERSations",,,,cowpastor_barbados,,Barbados,
"Basseterre, St. Kitts and Nevis",,2000-08-17,Caribbean Community Secretariat,2000-08-25,,Caribbean Community Secretariat,CARIFESTA VII 2000; City ambiguous,,,basseterre_st_kitts_and_nevis,,St. Kitts and Nevis,
"Kingston, Jamaica",2001,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,,,"Address as of 2001: Department of History, University of the West Indies, Mona, Kingston 7, Jamaica",,,kingston_jamaica,,Jamaica,
"Miami, Florida, USA",2003-03,,"Paquet, Sandra",,,,West Indian Lit Conference at UMiami,,,miami_florida_usa,Florida,USA,
"New York, New York, USA",2009-09,,Brathwaite syllabus,,,,Teaches Tpcs in Caribbean Lit at NYU,,,new_york_new_york_usa,New York,USA,
"Brooklyn, New York, USA",2010-03-25,,"""The Tenth National Black Writers' Conference,"" CUNY",2010-03-28,,"""The Tenth National Black Writers' Conference,"" CUNY",Tenth National Black Writer's Conference at Medgar Evers ,,,brooklyn_new_york_usa,New York,USA,
