Algiers ,,Algeria,1969-07-21,,Couffon,,1969-07-27,Couffon,sent as journalist for Granma to cover Pan-African Festival of Algiers,
Havana,,Cuba,1969-07-27,,Couffon,1973,,Couffon,,
Quebec,,Canada,,1973,Couffon,1973,,Couffon,meets w/publishers,
Havana,,Cuba,,1973,Couffon,1978,,Couffon,,
Kingston,,Jamaica,,1978,Couffon,1978,,Couffon,"Mona, University of the West Indies",
Paris,,France,,1978,Couffon,1984,,Couffon,works for UNESCO,
Tokyo,,Japan,,1984,Couffon,1984,,Couffon,attends Congress of Pen Club as representative of UNESCO,
Paris,,France,,1984,Couffon,1985,,Couffon,attends 8th World Congress of Poets presided over by Senghor as representative of UNESCO,
Corfu,,Greece,,1985,Couffon,1985,,Couffon,,
Paris,,France,,1985,Couffon,1986,,Couffon,,
Lézignan-Corbières,,France,,1986,Couffon,,2003-06-24,Couffon,,
Fort-de-France,,Martinique,2003-06-24,,Couffon,,2003-06-26,Couffon,attends events surrounding Aimé Césaire's 90th birthday,
Lézignan-Corbières,,France,2003-06-26,,Couffon,,2005-02-22,Couffon,sent w/Foreign Affairs Minister Michel Barnier and writer Régis Debray by Prime Minister Dominique de Villepin to lecture at Institut français d'Haïti on 2005-02-22,
Port-au-Prince,,Haiti,2005-02-22,,Couffon,2005,2005-04-25,Couffon,,
Point-à-Pitre,,Guadeloupe,2005-04-25,,Couffon,,,,lectures at the Centre des Arts et de la Culture on 2005-04-25,
Lézignan-Corbières,,France,,2005-04,Couffon,2006-09,,Couffon,,
True Blue,,Grenada,,2006-09,Couffon,2006,,Couffon,lectures at University of Grenada,
Lézignan-Corbières,,France,,2006-09,,,,,,
