W.E.B. Dubois,webdubois,"scholar, activist",,,,,,
"Norfolk, Virginia, USA",1897-07,,"Lewis, Biography of a Race 207",,1897-07,"Lewis, Biography of a Race 207",presentation of research at Hampton Institute in Norfolk,norfolk_virginia_usa
"Farmville, Virginia, USA",1897-07,,"Lewis, Biography of a Race 195",,1897-08,"Lewis, Biography of a Race 195","continues research study on black people in Farmville, VA",farmville_virginia_usa
"Philadelphia, Pennsylvania, USA",1897-08,,"Lewis, Biography of a Race 195",,1897-10,"Lewis, Biography of a Race 193",continues research in Philadelphia for The Philadelphia Negro,philadelphia_pennsylvania_usa
"Great Barrington, Massachusetts, USA",1897-10,,"Lewis, Biography of a Race 193",,1897-10,"Lewis, Biography of a Race 193","visit to Great Barrington, where Nina had given birth to son",great_barrington_massachusetts_usa
"Philadelphia, Pennsylvania, USA",1897-10,,"Lewis, Biography of a Race 193",,1897-10,"Lewis, Biography of a Race 193",rushes away from newborn and wife to Philadelphia after two days,philadelphia_pennsylvania_usa
"Atlanta, Georgia, USA",,1897-12-24,"Lewis, Biography of a Race 211",,1898-06,"Lewis, Biography of a Race 263","the Du Bois family celebrates Christmas in their new home in Atlanta where Du Bois began a teaching position at Atlanta University on January 1, 1898",atlanta_georgia_usa
"Nashville, Tennessee, USA",1898-06,,"Lewis, Biography of a Race 263",,1898-06,"Lewis, Biography of a Race 263","delivers commencement speechat Fisk on June 15, 1898",nashville_tennessee_usa
"Atlanta, Georgia, USA",1898-06,,"Lewis, Biography of a Race 263",,1899-03,"Lewis, Biography of a Race 263",returns to Atlanta University for work,atlanta_georgia_usa
"Boston, Massachusetts, USA",1899-03,,"Lewis, Biography of a Race 243",,1899-03,"Lewis, Biography of a Race 243",fundraising tour for Atlanta University in New England; meets Booker T. Washington,boston_massachusetts_usa
"Atlanta, Georgia, USA",1899-03,,"Lewis, Biography of a Race 243",,1899-03,"Lewis, Biography of a Race 243",continues work at Atlanta University,atlanta_georgia_usa
"Great Barrington, Massachusetts, USA",1899-05,,"Lewis, Biography of a Race 243",,1899-05,"Lewis, Biography of a Race 243","buries son Burghardt in Great Barrington, Massachusetts",great_barrington_massachusetts_usa
"Atlanta, Georgia, USA",1899-05-30,,"Lewis, Biography of a Race 243",,1899-08,"Lewis, Biography of a Race 243",returns to Atlanta six days after burying son to preside over Atlanta Studies conference,atlanta_georgia_usa
"Chicago, Illinois, USA",1899-08,,"Lewis, Biography of a Race 243",,1899-08,"Lewis, Biography of a Race 243",attends National Afro-American Council meeting in Chicago where he defends Booker T. Washington,chicago_illinois_usa
"Atlanta, Georgia, USA",1899-08,,"Lewis, Biography of a Race 243",,1900-02,"Lewis, Biography of a Race 243",continues work at Atlanta University,atlanta_georgia_usa
"Tuskegee, Alabama, USA",1900-02,,"Lewis, Biography of a Race 243",,1900-02,"Lewis, Biography of a Race 243","spends two days visiting Tuskegee University & Booker T. Washington, contemplating job there",tuskegee_alabama_usa
"Atlanta, Georgia, USA",1900-02,,"Lewis, Biography of a Race 243",,1900-03,"Lewis, Biography of a Race 243",returns to Atlanta University deciding not to take Tuskeegee position,atlanta_georgia_usa
"Washington, D.C., USA",1900-03,,"Lewis, Biography of a Race 243",,1900-03,"Lewis, Biography of a Race 243",attends American Negro Academy meeting,washington_dc._usa
"Atlanta, Georgia, USA",1900-03,,"Lewis, Biography of a Race 243",,1900-03,"Lewis, Biography of a Race 243",returns to Atlanta University to continue work,atlanta_georgia_usa
"Savannah, Georgia, USA",1900-02-20,,"Lewis, Biography of a Race 243",,,,attends meeting of Paris Exposition commissioners,savannah_georgia_usa
"Atlanta, Georgia, USA",1900-02,,"Lewis, Biography of a Race 243",,1900-06,"Lewis, Biography of a Race 249",returns to Atlanta University to continue work,atlanta_georgia_usa
"New York, New York, USA",1900-06,,"Lewis, Biography of a Race 249",,1900-06,"Lewis, Biography of a Race 249",leaves for New York en route to Europe,new_york_new_york_usa
"Paris, France",1900-06,,"Lewis, Biography of a Race 249",,1900-07,"Lewis, Biography of a Race 249",travels to Europe for Paris Exposition for two months,paris_france
"London, England",1900-07-23,,"Lewis, Biography of a Race 249",,1900-07-25,"Lewis, Biography of a Race 249","attends First Pan-African Congress; do not have exact dates for London arrival/departure, just for the PAC itself",london_england
"Atlanta, Georgia, USA",1900-08,,"Lewis, Biography of a Race 257",,1901-02,"Lewis, Biography of a Race 249",returns to Atlanta for work,atlanta_georgia_usa
"Tuskegee, Alabama, USA",1901-02,,"Lewis, Biography of a Race 249",,1901-02,"Lewis, Biography of a Race 249",attends two-day Tuskegee Conference,tuskegee_alabama_usa
"Atlanta, Georgia, USA",1901-02,,"Lewis, Biography of a Race 249",,1902-12,"Lewis, Biography of a Race 276",returns to Atlanta for work,atlanta_georgia_usa
"St. Paul, Minnesota, USA",,1902,"Lewis, Biography of a Race 299",,,,meeting of Afro-American Council,st_paul_minnesota_usa
"New York, New York, USA",1902-12,,"Lewis, Biography of a Race 276",,1902-12,"Lewis, Biography of a Race 276",meets with Booker T. Washington ,new_york_new_york_usa
"Atlanta, Georgia, USA",1902-12,,"Lewis, Biography of a Race 276",,1903-01,"Lewis, Biography of a Race 276",returns to Atlanta for work,atlanta_georgia_usa
"New York, New York, USA",1903-01,,"Lewis, Biography of a Race 276",,1903-01,"Lewis, Biography of a Race 276",attends the 1903 interracial conference,new_york_new_york_usa
"Atlanta, Georgia, USA",1903-01,,"Lewis, Biography of a Race 276",,1903-06,"Lewis, Biography of a Race 276",returns to Atlanta for work,atlanta_georgia_usa
"Tuskegee, Alabama, USA",1903-06,,"Lewis, Biography of a Race 299",,1903-07,"Lewis, Biography of a Race 299",Lectures at Tuskegee Summer Session,tuskegee_alabama_usa
"Boston, Massachusetts, USA",1903-08,,"Lewis, Biography of a Race 305",,1903-08,"Lewis, Biography of a Race 276","arrives several days after the ""Boston Riot"" on July 30,1903",boston_massachusetts_usa
"Bar Harbor, Maine, USA",1903-08,,"Lewis, Biography of a Race 276",,1903-08,"Lewis, Biography of a Race 276",lectures on Atlanta University Studies,bar_harbor_maine_usa
"Atlanta, Georgia, USA",1903-08,,"Lewis, Biography of a Race 276",,,,Returns to Atlanta for work,atlanta_georgia_usa
"New York, New York, USA",1904-01,,"Lewis, Biography of a Race 305",,1904-01,"Lewis, Biography of a Race 305","attends conference of black leaders (January 6-8, 1904)",new_york_new_york_usa
"Boston, Massachusetts, USA",1904-01,,"Lewis, Biography of a Race 356",,1904-01,"Lewis, Biography of a Race 356",goes to Boston to fundraise for Atlanta University,boston_massachusetts_usa
"Atlanta, Georgia, USA",1904-01,,"Lewis, Biography of a Race 310",,1904-07,"Lewis, Biography of a Race 310",returns to Atlanta for work,atlanta_georgia_usa
"New York, New York, USA",1904-07,,"Lewis, Biography of a Race 310",,1904-07,"Lewis, Biography of a Race 310",attends Committee of Twelve meeting before resigning,new_york_new_york_usa
"Atlanta, Georgia, USA",1904-07,,"Lewis, Biography of a Race 310",,1904-10,"Lewis, Biography of a Race 319",returns to Atlanta for work,atlanta_georgia_usa
"Des Moines, Iowa, USA",,1904-10-18,"Lewis, Biography of a Race 319",,,,"speaks on October 18, 1904 to American Missionary Association",des_moines_iowa_usa
"Atlanta, Georgia, USA",1904-10,,"Lewis, Biography of a Race 319",,1905-07,"Lewis, Biography of a Race 319",returns to Atlanta for work,atlanta_georgia_usa
"Fort Erie, Canada",1905-07,,"Lewis, Biography of a Race 319",,1905-07,"Lewis, Biography of a Race 319",founds Niagara Movement,fort_erie_canada
"Atlanta, Georgia, USA",1905-07,,"Lewis, Biography of a Race 319",,1906-08,"Lewis, Biography of a Race 330",returns to Atlanta for work,atlanta_georgia_usa
"Hampton, Virginia, USA",,1906-07-30,"Lewis, Biography of a Race 352",,,,addresses Hampton Institute ,hampton_virginia_usa
"Harper's Ferry, West Virginia, USA",1906-08-15,,"Lewis, Biography of a Race 330",,1906-08,"Lewis, Biography of a Race 330",Second Niagara Movement meeting,harper's_ferry_west_virginia_usa
"Lowndes County, Alabama, USA",1906-08,,"Lewis, Biography of a Race 336",,1906-09,"Lewis, Biography of a Race 336","research for Census Bureau, late August-late September (was there when he learned of Atlanta Race Riot, September 22-24)",lowndes_county_alabama_usa
"Atlanta, Georgia, USA",1906-09,,"Lewis, Biography of a Race 336",,1906-11,"Lewis, Biography of a Race 356",rushes to Atlanta upon hearing news of riot,atlanta_georgia_usa
"Lowndes County, Alabama, USA",1906-11,,"Lewis, Biography of a Race 356",,1906-11,"Lewis, Biography of a Race 356",shuttles back and forth between Lowndes County and Atlanta in November 1906,lowndes_county_alabama_usa
"Atlanta, Georgia, USA",1906-11,,"Lewis, Biography of a Race 336",,1906-11,"Lewis, Biography of a Race 356",shuttles back and forth between Lowndes County and Atlanta in November 1907,atlanta_georgia_usa
"New York, New York, USA",1907-01,,"Lewis, Biography of a Race 369",,1907-02,"Lewis, Biography of a Race 369",fundraising tour for Atlanta University with Northern audiences,new_york_new_york_usa
"Chicago, Illinois, USA",1907-02,,"Lewis, Biography of a Race 339",,1907-02,"Lewis, Biography of a Race 369",visits Jane Adams' Hull House ,chicago_illinois_usa
"Atlanta, Georgia, USA",1907-02,,"Lewis, Biography of a Race 369",,1907-04,"Lewis, Biography of a Race 356",returns to Atlanta for work,atlanta_georgia_usa
"Washington, D.C., USA",1907-04,,"Lewis, Biography of a Race 356",,1907-04,"Lewis, Biography of a Race 356",spends three weeks in Washington trying to work with Census Bureau,washington_dc._usa
"Atlanta, Georgia, USA",1907-04,,"Lewis, Biography of a Race 356",,1907-04,"Lewis, Biography of a Race 356",returns to Atlanta for work,atlanta_georgia_usa
"Montreal, Canada",1907-06,,"Lewis, Biography of a Race 371",,1907-06-20,"Lewis, Biography of a Race 371",travels via Montreal to Europe,montreal_canada
"Glasgow, Scotland",,1907-06-30,"Lewis, Biography of a Race 371",,1907-06-30,"Lewis, Biography of a Race 371",month-long trip to UK & France,glasgow_scotland
"Lake District, England",1907-07,,"Lewis, Biography of a Race 371",,1907-08,"Lewis, Biography of a Race 371",month-long trip to UK & France,lake_district_england
"London, England",1907-08,,"Lewis, Biography of a Race 371",,1907-08,"Lewis, Biography of a Race 371",month-long trip to UK & France,london_england
"Paris, France",1907-08,,"Lewis, Biography of a Race 371",,1907-08,"Lewis, Biography of a Race 339",month-long trip to UK & France,paris_france
"Boston, Massachusetts, USA",1907-08,,"Lewis, Biography of a Race 339",,1907-08,"Lewis, Biography of a Race 339",Third Niagara Movement Meeting (end of August),boston_massachusetts_usa
"Atlanta, Georgia, USA",1907-08,,"Lewis, Biography of a Race 339",,1908-08,"Lewis, Biography of a Race 348",returns to Atlanta to work,atlanta_georgia_usa
"New York, New York, USA",1908-05,,"Lewis, Biography of a Race 401",,1908-05,"Lewis, Biography of a Race 401",speaks at New York's Republican club,new_york_new_york_usa
"Atlanta, Georgia, USA",1908-05,,"Lewis, Biography of a Race 401",,1908-08,"Lewis, Biography of a Race 401",returns to Atlanta to work,atlanta_georgia_usa
"Nashville, Tennessee, USA",,1908-06-15,"Lewis, Fight 134",,,,speaks at Fisk commencement,nashville_tennessee_usa
"Chicago, Illinois, USA",1908-08,,"Lewis, Biography of a Race 383",,1908-08,"Lewis, Biography of a Race 383",Chicago tonsillectomy in early August,chicago_illinois_usa
"Oberlin, Ohio, USA",1908-08,,"Lewis, Biography of a Race 348",,1908-08,"Lewis, Biography of a Race 348",Fourth Niagara Movement Meeting,oberlin_ohio_usa
"Atlanta, Georgia, USA",1908-08,,"Lewis, Biography of a Race 348",,,,returns to Atlanta to work,atlanta_georgia_usa
"Sea Isle City, New Jersey, USA",1909-08,,"Lewis, Biography of a Race 383",,1909-08,"Lewis, Biography of a Race 383",Fifth Niagara Movement meeting (final),sea_isle_city_new_jersey_usa
"Atlanta, Georgia, USA",1909-08,,"Lewis, Biography of a Race 383",,1909-08,"Lewis, Biography of a Race 383",returns to Atlanta to work,atlanta_georgia_usa
"New York, New York, USA",1909-05-31,,"Lewis, Biography of a Race 401",,1909-06,"Lewis, Biography of a Race 401",attends National Negro Conference,new_york_new_york_usa
"Atlanta, Georgia, USA",1909-06,,"Lewis, Biography of a Race 401",,1909-06,"Lewis, Biography of a Race 401",returns to Atlanta to work,atlanta_georgia_usa
"New York, New York, USA",1909-12,,"Lewis, Biography of a Race 383",,1909-12,"Lewis, Biography of a Race 383",attends AHA 1909,new_york_new_york_usa
"Atlanta, Georgia, USA",1909-12,,"Lewis, Biography of a Race 383",,1910-08,"Lewis, Biography of a Race 401",returns to Atlanta to work,atlanta_georgia_usa
"Boston, Massachusetts, USA",1910-03,,"Lewis, Biography of a Race 401",,1910-03,"Lewis, Biography of a Race 401",public address in favor of NAACP,boston_massachusetts_usa
"Atlanta, Georgia, USA",1910-03,,"Lewis, Biography of a Race 401",,1910-08,"Lewis, Biography of a Race 401",returns to Atlanta to work,atlanta_georgia_usa
"New York, New York, USA",1910-08,,"Lewis, Biography of a Race 401",,,,resigns from Atlanta University to work for NAACP,new_york_new_york_usa
"London, England",,1911-06,"Lewis, Biography of a Race 439",1911-07,,"Lewis, Biography of a Race 454",addresses the Lyceum Club; stays until late summer,london_england
"New York, New York, USA",1911-08,,"Lewis, Biography of a Race 439",1913,,"Lewis, Biography of a Race 439",returns to NY to work ,new_york_new_york_usa
"Southwest, USA",,1913,"Lewis, Biography of a Race 487",,,,lecture circuit for The Crisis,southwest_usa
"California, USA",,1913,"Lewis, Biography of a Race 487",,,,lecture circuit for The Crisis,california_usa
"Oregon, USA",,1913,"Lewis, Biography of a Race 487",,,,lecture circuit for The Crisis,oregon_usa
"Seattle, Washington, USA",,1913,"Lewis, Biography of a Race 487",,,,lecture circuit for The Crisis,seattle_washington_usa
"Memphis, Tennessee, USA",,1914,"Lewis, Biography of a Race 487",,,,trip with Joel Spingarn,memphis_tennessee_usa
"Kingston, Jamaica",,1915-04,"Lewis, Biography of a Race 457; Lewis, Fight, 54",,,,"vacation to Jamaica, late April",kingston_jamaica
"Boston, Massachusetts, USA",1915-04-18,,"Lewis, Biography of a Race 514",,,,leads protest against Birth of a Nation,boston_massachusetts_usa
"Washington, D.C., USA",,1915-10,"Lewis, Biography of a Race 465",,,,"washington for Star of Ethiopia pageant, autumn",washington_dc._usa
"Manchester, New Hampshire, USA",1915-11,,"Lewis, Biography of a Race 505",,,,"speaking engagement on ""The World Problem of the Color Line""",manchester_new_hampshire_usa
"Florida, USA",1916-02,,"Lewis, Biography of a Race 465",,,,,florida_usa
"Atlanta, Georgia, USA",1916-02,,"Lewis, Biography of a Race 465",,,,,atlanta_georgia_usa
"Boston, Massachusetts, USA",1916-02,,"Lewis, Biography of a Race 465",,,,attends Spingarn Medal ceremony,boston_massachusetts_usa
"New York, New York, USA",1916-02,,"Lewis, Biography of a Race 465",,,,,new_york_new_york_usa
"Philadelphia, Pennsylvania, USA",1916-05,,"Lewis, Biography of a Race 465",,,,put on Star of Ethiopia pageant,philadelphia_pennsylvania_usa
"New York, New York, USA",1916-08,,"Lewis, Biography of a Race 465",,,,greets Nina & Yolande when they arrive from England,new_york_new_york_usa
"Sea Isle City, New Jersey, USA",1916-08,,"Lewis, Biography of a Race 465",,,,takes Nina & Yolande to NJ,sea_isle_city_new_jersey_usa
"Maine, USA",1916-08,,"Lewis, Biography of a Race 465",,,,"goes on vacation in Maine (unclear, given timing of NAACP meeting)",maine_usa
"New York, New York, USA",,1916-08-15,,,,"Lewis, Biography of a Race 519",departs for NAACP Annual Meeting,new_york_new_york_usa
"Amenia, New York, USA",1916-08-24,,"Lewis, Biography of a Race 519",,1916-08-24,"Lewis, Biography of a Race 519",NAACP Annual Meeting,amenia_new_york_usa
"New York, New York, USA",,1916-12,"Lewis, Biography of a Race 526",1917-01-22,,"Lewis, Biography of a Race 526",hospitalized in NY; discharged 1917-1-22,new_york_new_york_usa
"Atlanta, Georgia, USA",1917-04,,"Lewis, Biography of a Race 526",1917-04,,"Lewis, Biography of a Race 526",speaking engagements,atlanta_georgia_usa
