C.L.R. James,clrjames,writer,Amanda Perry,,,,,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country,works published,key encounters,concepts/ideologies engaged,key sites of education/engagement
"Chicago, Illinois, USA",,,James Special Delivery 289,1947-04-29,,,Motive for visit unclear,,,chicago_illinois_usa,Chicago,Illinois,U.S.,,,,
"New York, New York, USA",,1947-05,James Special Delivery 285,,,,Based in New York,,,new_york_new_york_usa,New York,New York,U.S.,,,,
"Reno, Nevada, USA",1948-08-01,,James Special Delivery 310,1948-11-09,,,"Stays in Reno for several months to secure his divorce from Juanita James, his first wife",,,reno_nevada_usa,Reno,Nevada,U.S.,,,,
"New York, New York, USA",1948,,Buhle 175,,1952,,Based in New York,,,new_york_new_york_usa,New York,New York,U.S.,,,,
"Ellis Island, New York, USA",1952,,Buhle 175,,1953,,"Interned at Ellis Island, where he writes Mariners, Renegades, and Castaways. James was there for six months.",,,ellis_island_new_york_usa,Ellis Island,New York,U.S.,,,,
"London, England",1953,,Buhle 175,,,,Returns to London following deportation from U.S.,,,london_england,London,,U.K.,,,,
"Paris, France",,1954-03-09,CLR James Papers Box 11 Folder 2,,,,"Gives lecture ""Popular art and the cultural tradition"" at the Congress of Cultural Freedom",,,paris_france,Paris,,France,,,,
"London, England",1954,,Buhle 175,,1957,,Based in London,,,london_england,London,,U.K.,,,,
"Accra, Ghana",1957-03,,Grimshaw 19,,1957,,Invited by Kwame Nkrumah for Independence Day celebrations,,,accra_ghana,,,Ghana,,,,
"London, England",1957,,Grimshaw 19,,1958,,Based in London,,,london_england,London,,U.K.,,,,
Spain,1958-01,,CLR James Papers Box 2 Folder 2,,1958-06,,Spends six months in Spain working on Beyond a Boundary with Selma James,,,spain,,,Spain,,,,
"Georgetown, Guyana",,1958-06,CLR James Papers Box 10 Folder 17 ,,,,Lectures on the West Indies Federation at Queen's College,,,georgetown_guyana,Georgetown,,British Guiana,,,,
Trinidad,1958,,Buhle 175,,1960,,Returns to Trinidad on Eric Williams' request to become involved with the Peoples' National Movement,,,trinidad,,,Trinidad,,,,
"Accra, Ghana",1960,,Grimshaw 19,,1960,,,,,accra_ghana,,,Ghana,,,,
Trinidad,1960,,Grimshaw 19,,,,Working with Peoples' National Movement,,,trinidad,,,Trinidad,,,,
Jamaica,,1961,"Worcester 169, CLR James Papers Box 2 Folder 2 ",1961-11,,,In a road accident while in Jamaica,,,jamaica,,,Jamaica,,,,
Trinidad,,1961-11,CLR James Papers Box 2 Folder 2,,1962-08,CLR James Papers Box 2 Folder 2,Leaves Trinidad after split with Williams,,,trinidad,,,Trinidad,,,,
"London, England",1962-09,,"Hall 15, Buhle 175, CLR James Papers Box 2 Folder 2",,,,Based in London,,,london_england,London,,U.K.,,,,
"Edinburgh, Scotland, UK",,1964-02-26,CLR James Papers Box 10 Folder 9 ,,,,"Gives the lecture ""A National Purpose for Caribbean Peoples"" at the West Indian Students Association at University of Edinburgh",,,edinburgh_scotland_uk,Edinburgh,Scotland,U.K.,,,,
"London, England",,1964,CLR James Papers Box 10 Folder 9 ,,,,Based in London,,,london_england,London,,U.K.,,,,
"Port-of-Spain, Trinidad",1965-03,,Worcester 169,1965-04,,,"Placed under house arrest for six weeks by Eric Williams. Before this, he is apparently following the West Indies cricket tour",,,port_of_spain_trinidad,Port-of-Spain,,Trinidad,,,,
"London, England",1965-04,,Worcester 169,,1965-07,,Based in London,,,london_england,London,,U.K.,,,,
"Port-of-Spain, Trinidad",1965,,Worcester 169,,,,"Worcester says James returned in the ""summer"" of 1965. He leaves a few weeks following the 1966 election",,,port_of_spain_trinidad,Port-of-Spain,,Trinidad,,,,
"Montreal, Canada",1966,,"Worcester 169; CLR James Papers Box 10 Folder 16, CLR James Papers Box 10 Folder 8, Austin 15 ",,1966,,"Delivers the lecture ""The Making of the Caribbean Peoples"" at the Second Conference on West Indian Affairs. The date is given as ""summer."" Also gives the lecture ""Existentialism and Marxism."" Worcester lists this lecture as having taken place in London, but Austin has correspondence demonstrating that it was in Montreal ",,,montreal_canada,Montreal,Quebec,Canada,,,,
"Port-of-Spain, Trinidad",1966-10,,Austin 16,,1966-12,,"Returns to Trinidad for the elections, where his Workers' and Farmers' Party is defeated",,,port_of_spain_trinidad,Port-of-Spain,,Trinidad,,,,
"Montreal, Canada",1966-12-07,,"CLR James Papers Box 4 Folder 3, Austin 16",,1967-03-08,,Delivers a series of public and private lectures in Montreal on the invitation of the Caribbean Conference Committee and the C.L.R. James Study Circle. These lectures are collected in David Austin's You Don't Play With Revolution,,,montreal_canada,Montreal,Quebec,Canada,,,,
"Detroit, Michigan, USA",,1967-01,"CLR James Papers Box 4 Folder 3, Austin 277 ",,,,Lecture tour that includes stop in Detroit. First time re-entering the U.S. after being expelled in 1953,,,detroit_michigan_usa,Detroit,Michigan,U.S.A.,,,,
"Montreal, Canada",,,Austin 16,,1967-03-08,,Lecture tour of Canada,,,montreal_canada,Montreal,,Canada,,,,
"London, England",1967-03-01,,CLR James Papers Box 2 ,,1967-12-29,,Correspondence during this time period is from London,,,london_england,London,,U.K.,,,,
"Havana, Cuba",1967-12-29,,Salkey 11,,1968-02,Salkey 220,Attended 1968 Cultural Congress in Havana. Details and a summary of his paper available in Andrew Salkey's Havana Journal. Aimé Césaire and René Depestre attended his 67th birthday party,,,havana_cuba,Havana,,Cuba,,,,
"Santiago de Cuba, Cuba",1968-01,,Salkey 220,,1968-02,Salkey 220,"Exact dates ambiguous. Tour also included Isle of Pines, Pinar del Rio, Matanzas, Las Villas, and Camagüey",,,santiago_de_cuba_cuba,Santiago de Cuba,,Cuba,,,,
"Ibadan, Nigeria",1968-03,,CLR James Papers Box 4 Folder 3 ,,1968,,Lecture at the University of Ibadan,,,ibadan_nigeria,Ibadan,,Nigeria,,,,
"Accra, Ghana",1968,,CLR James Papers Box 4 Folder 3 ,,1968,,,,,accra_ghana,,,Ghana,,,,
"London, England",,1968-05,CLR James Papers Box 1 Folder 4 ,,1968-07-26,,Letter addressed from London,,,london_england,London,,U.K.,,,,
"Paris, France",1968-07-26,,CLR James Papers Box 1 Folder 4 ,,1968-07-29,,Letter specifying travel dates for trip,,,paris_france,Paris,,France,,,,
"London, England",1968-07-29,,CLR James Papers Box 1 Folder 4 ,,,,,,,london_england,London,,U.K.,,,,
"Dar-Es-Salaam, Tanzania",1968-08,,"CLR James Papers Box 4 Folder 3, Grimshaw 21",,,,,,,dar_es_salaam_tanzania,,,Tanzania,,,,
Uganda,1968-08,,"CLR James Papers Box 4 Folder 3, Grimshaw 21",,,,,,,uganda,,,Uganda,,,,
"London, England",,1968-09-09,CLR James Papers Box 1 Folder 4 ,,,,Letter addressed from London,,,london_england,London,,U.K.,,,,
"Montreal, Canada",1968-10-11,,"CLR James Papers Box 4 Folder 3, Austin 16",,1968-10-14,,Comes to Montreal to lecture on the Haitian Revolution at the Congress of Black Writers,,,montreal_canada,Montreal,Quebec,Canada,,,,
"Detroit, Michigan, USA",,1968-11,CLR James Papers Box 11 Folder 23 ,,,,Gives a lecture at Wayne State University on Africa,,,detroit_michigan_usa,Detroit,Michigan,U.S.A.,,,,
"Manchester, England",,1968-11-30,CLR James Papers Box 2 Folder 12 ,,,,Goes to Machester for a meeting,,,manchester_england,Manchester,,U.K.,,,,
"London, England",1968-12,,CLR James Papers Box 4 Folder 3 ,,1968-12-02,CLR James Papers Box 2 Folder 12 ,Based in London,,,london_england,London,,U.K.,,,,
Cuba,1968-12-02,,CLR James Papers Box 2 Folder 12 ,,,,Goes to Cuba for a conference,,,cuba,,,Cuba,,,,
"London, England",1969-01,,"CLR James Papers Box 4 Folder 3, CLR James Papers Box 2 Folder 1",,1969-06,,Correspondence is from London during this time period,,,london_england,London,,U.K.,,,,
"Hamilton, Bermuda",,1969-07-10,CLR James Papers Box 11 Folder 12 ,1969-07-13,,,Gives a lecture at the First Regional Black Power Conference,,,hamilton_bermuda,Hamilton,,Bermuda,,,,
"New York, New York, USA",,1969-09-07,CLR James Papers Box 11 Folder 10 ,,,,Gives a lecture for the African-American Teachers Association,,,new_york_new_york_usa,New York,New York,U.S.,,,,
"Evanston, Illinois, USA",1969-09,,CLR James Papers Box 4 Folder 3 ,,1969-12,,Teaching at Northwestern University,,,evanston_illinois_usa,Evanston,Illinois,U.S.,,,,
"Irvine, California, USA",,,CLR James Papers Box 1 Folder 6,,1970-06,,Letter asking him to send in his plane ticket stubs for a trip there,,,irvine_california_usa,Irvine,California,U.S.,,,,
"Washington, D.C., USA",1970,,"CLR James Papers Box 4 Folder 3, Buhl 175",,,,"Based in the U.S., mostly D.C., from 1968 to 1980. He teaches at Federal City College and at the Graduate School at Howard University",,,washington_dc._usa,Washington,D.C.,U.S.,,,,
"Detroit, Michigan, USA",,1970-02-20,CLR James Papers Box 1 Folder 14,1970-03-03,,,Lectures at Michigan State University,,,detroit_michigan_usa,Detroit,Michigan,U.S.,,,,
"Washington, D.C., USA",,1970-03,CLR James Papers Box 1 Folder 14,1970-09,,,Based in D.C.,,,washington_dc._usa,Washington ,D.C.,U.S.,,,,
"Detroit, Michigan, USA",,1970-09-27,CLR James Papers Box 1 Folder 6,,,,Lecture,,,detroit_michigan_usa,Detroit,Michigan,U.S.,,,,
"Washington, D.C., USA",,1970-09,CLR James Papers Box 1 Folder 6,,,,Based in D.C.,,,washington_dc._usa,Washington ,D.C.,U.S.,,,,
"East Lansing, Michigan, USA",,1970-10-16,CLR James Papers Box 1 Folder 6,1970-10-18,,,Lectures at Michigan State University on the invitation of the Black Liberation Front,,,east_lansing_michigan_usa,East Lansing,Michigan,U.S.,,,,
"Washington, D.C., USA",,1970-10,CLR James Papers Box 1 Folder 6,1970-10,,,Based in D.C.,,,washington_dc._usa,Washington ,D.C.,U.S.,,,,
"Philadelphia, Pennsylvania, USA",,1970-10-24,CLR James Papers Box 1 Folder 6,,,,Attends an event with the Association for the Study of Negro Life and History,,,philadelphia_pennsylvania_usa,Philadelphia,Pennsylvania,U.S.,,,,
"Washington, D.C., USA",,1970-10,CLR James Papers Box 1 Folder 6,,1970-10,,Based in D.C.,,,washington_dc._usa,Washington,D.C.,U.S.,,,,
"Greensboro, North Carolina, USA",,1970-10-29,CLR James Papers Box 1 Folder 14,,,,,,,greensboro_north_carolina_usa,Greensboro,North Carolina,U.S.,,,,
"Washington, D.C., USA",1970-10-30,,CLR James Papers Box 1 Folder 14,,1970-11-06,,Based in D.C.,,,washington_dc._usa,Washington,D.C.,U.S.,,,,
"Buffalo, New York, USA",1970-11-05,,CLR James Papers Box 1 Folder 6,,1970-11-05,,Flies up for a single day to lecture on Pan-Africanism,,,buffalo_new_york_usa,Buffalo,New York,U.S.,,,,
"Boston, Massachusetts, USA",1970-11-06,,CLR James Papers Box 1 Folder 14,,,,Goes to Boston in connection with Harvard,,,boston_massachusetts_usa,Boston,Massachussetts,U.S.,,,,
"Washington, D.C., USA",1970-11,,CLR James Papers Box 1 Folder 6,,1971,,Based in D.C.,,,washington_dc._usa,Washington ,D.C.,U.S.,,,,
"Northampton, Massachusetts, USA",,1970-12-09,CLR James Papers Box 1 Folder 14,,,,Gives a lecture at Smith College,,,northampton_massachusetts_usa,Northampton,Massachussetts,U.S.,,,,
"Washington, D.C., USA",,1970-12,CLR James Papers Box 1 Folder 14,,,,Based in D.C.,,,washington_dc._usa,Washington,D.C.,U.K.,,,,
Barbados,1971,,CLR James Papers Box 4 Folder 3 ,,1971,,"Goes for lecture. In source, James may be misremembering a lecture he gave on February 1 1972",,,barbados,,,Barbados,,,,
"London, England",,1971-01-04,CLR James Papers Box 11 Folder 16 ,,,,Gives a speech at Ladbroke Grove for his 70th birthday,,,london_england,London,,U.K.,,,,
"Washington, D.C., USA",,1971-01,CLR James Papers Box 11 Folder 16 ,1971-04,,,Based in D.C.,,,washington_dc._usa,Washington,D.C.,U.S.,,,,
"New Brunswick, New Jersey, USA",,1971-04-25,CLR James Papers Box 1 Folder 6,,,,Part of a Black Liberation event,,,new_brunswick_new_jersey_usa,New Brunswick,New Jersey,U.S.,,,,
"Washington, D.C., USA",,1971-04,CLR James Papers Box 1 Folder 6,1971-06,,,Based in D.C.,,,washington_dc._usa,Washington,D.C.,U.S.,,,,
"Detroit, Michigan, USA",,1971-06-12,CLR James Papers Box 10 Folder 13 ,1971-06-13,,,"Gives two lectures on ""Notes on Dialectics""",,,detroit_michigan_usa,Detroit,Michigan,U.S.,,,,
"Washington, D.C., USA",1971,,CLR James Papers Box 4 Folder 3 ,,1972,,Based in D.C.,,,washington_dc._usa,Washington,D.C.,U.S.,,,,
"Cave Hill, Barbados",,1972-02-01,CLR James Papers Box 11 Folder 24,,,,Gives the graduation speech at University of the West Indies-Cave Hill,,,cave_hill_barbados,Cave Hill,,Barbados,,,,
"Washington, D.C., USA",1972,,Buhle 175,,,,Based in D.C.,,,washington_dc._usa,Washington,D.C.,U.S.,,,,
"Jackson, Mississippi, USA",,1972-05-09,CLR James Papers Box 11 Folder 20,,,,Gives a lecture at Tougaloo College,,,jackson_mississippi_usa,Jackson,Mississippi,U.S.,,,,
"San Diego, California, USA",,,CLR James Papers Box 1 Folder 6,1972-11-15,,,Attends the National Congress of African People Conference. A November letter refers to his reimbursement,,,san_diego_california_usa,San Diego,California,U.S.,,,,
"Washington, D.C., USA",1972,,Buhle 175,,1973,,Based in D.C.,,,washington_dc._usa,Washington,D.C.,U.S.,,,,
"Rutgers, New Jersey, USA",,1973-09-18,CLR James Papers Box 11 Folder 18 ,,,,Gives a lecture at Rutgers University,,,rutgers_new_jersey_usa,Rutgers,N.J.,U.S.,,,,
"Washington, D.C., USA",1973,,Buhle 175,,1974,,Based in D.C.,,,washington_dc._usa,Washington,D.C.,U.S.,,,,
"Dar-Es-Salaam, Tanzania",1974-06,,Buhle 175,,,,Opens the Sixth Pan-African Congress,,,dar_es_salaam_tanzania,,,Tanzania,,,,
"Washington, D.C., USA",1974,,Buhle 175,1975,,,Buhle states that James is based teaching in D.C. from 1974 to 1980,,,washington_dc._usa,Washington,D.C.,U.S.,,,,
"New York, New York, USA",,,CLR James Papers Box 1 Folder 7,1975-05-29,,,Attends the Conference on Pan-Africanism: New Directions in Strategy,,,new_york_new_york_usa,New York,N.Y.,U.S.,,,,
"Washington, D.C., USA",,1975-05,CLR James Papers Box 1 Folder 6,,1976,Buhle 175,Based in D.C.,,,washington_dc._usa,"Washington, D.C.",,U.S.,,,,
"London, England",,1976,CLR James Papers Box 10 Folder 25,,,,"Gives the lecture ""George Padmore: Black Marxist Revolutionary"" in North London",,,london_england,London,,U.K.,,,,
"Washington, D.C., USA",1976,,Buhle 175,,1977,,Based in D.C.,,,washington_dc._usa,Washington,D.C.,U.S.,,,,
"Greenville, Mississippi, USA",1977-06-13,,CLR James Papers Box 1 Folder 8,1977-06-13,,,Gives a lecture as part of a youth program,,,greenville_mississippi_usa,Greenvile,Mississippi,U.S.,,,,
"Washington, D.C., USA",,1977-06,CLR James Papers Box 1 Folder 8,1977-08,,,Based in D.C.,,,washington_dc._usa,Washington,D.C.,U.S.,,,,
"San Francisco, California, USA",,1977-08-06,CLR James Papers Box 11 Folder 19,,,,"Gives a lecture on African decolonization, in association with the Pan afrikan peoples organization",,,san_francisco_california_usa,San Francisco,California,U.S.,,,,
"Savannah, Georgia, USA",,1977-09,CLR James Papers Box 1 Folder 8,1977-09,,,"Goes for a three day visit, delivering the public lecture ""Black People and Their Contribution to World Civilization""",,,savannah_georgia_usa,Savannah,Georgia,U.S.,,,,
"Washington, D.C., USA",,1977-09-20,CLR James Papers Box 1 Folder 8,1977-11,,,Based in D.C.,,,washington_dc._usa,Washington ,D.C.,U.S.,,,,
"Oberlin, Ohio, USA",,1977-11-18,CLR James Papers Box 1 Folder 8,1977-11-19,,,Lecture at Oberlin College,,,oberlin_ohio_usa,Oberlin,Ohio,U.S.,,,,
"Washington, D.C., USA",,1977-11,CLR James Papers Box 1 Folder 8,,,,Based in D.C.,,,washington_dc._usa,Washington ,D.C.,U.S.,,,,
"Saint Augustine, Trinidad",1978-01-18,,CLR James Papers Box 1 Folder 8,,1978-01-24,,"Visits University of the West Indies-St. Augustine for a short lecture series, timed to coincide with Uriah Butler's birthday",,,saint_augustine_trinidad,St. Augustine,,Trinidad,,,,
"Washington, D.C., USA",1978-01,,Buhle 175,,1978-05,,Based in D.C.,,,washington_dc._usa,Washington,D.C.,U.S.,,,,
"Binghamton, New York",,1978-05-16,CLR James Papers Box 1 Folder 9,,,,Invited to lecture at a conference on the labor process,,,binghamton_new_york,Binghamton,New York,U.S.,,,,
"Washington, D.C., USA",,1978-05,CLR James Papers Box 1 Folder 9,1979-04,,CLR James Papers Box 1 Folder 10,Based in D.C.,,,washington_dc._usa,Washington,D.C.,U.S.,,,,
"Brooklyn, New York, USA",,1979-04,CLR James Papers Box 1 Folder 10,,,,Participates in a Memorial Tribute to Kwame Nkrumah with the Black United Front,,,brooklyn_new_york_usa,Brooklyn,New York,U.S.,,,,
"Washington, D.C., USA",,1979-04-30,CLR James Papers Box 1 Folder 9,,,,Based in D.C.,,,washington_dc._usa,Washington,D.C.,U.S.,,,,
"San Fernando, Trinidad",1980,,"Buhle 176, CLR James Papers Box 12 Folder 22",,1981-05-14,CLR James Papers Box 2 Folder 15,Hosted by the Oil Worker's Union,,,san_fernando_trinidad,San Fernando,,Trinidad,,,,
"Los Angeles, California, USA",1981-05-14,,CLR James Papers Box 2 Folder 15,,1981-05-18,CLR James Papers Box 2 Folder 15,Goes to L.A. to lecture on Walter Rodney,,,los_angeles_california_usa,Los Angeles,California,U.S.,,,,
"London, England",1981,,Buhle 176,,,,Lives in Brixton from 1981 to 1989,,,london_england,London ,,U.K.,,,,
"Liverpool, England",,1981-05-28,CLR James Papers Box 1 Folder 17,,,,Gives a lecture at the Society for Caribbean Studies,,,liverpool_england,Liverpool,,U.K.,,,,
"London, England",,1981-06-01,CLR James Papers Box 1 Folder 17,,,,Lives in Brixton from 1981 to 1989,,,london_england,London,,U.K.,,,,
"Washington, D.C., USA",,1981-10-09,CLR James Papers Box 2 Folder 15,,1981-10-22,CLR James Papers Box 2 Folder 15,Mentions trip,,,washington_dc._usa,Washington,D.C.,U.S.,,,,
"Los Angeles, California, USA",1981-10-22,,CLR James Papers Box 2 Folder 15,,,,Lecture on Walter Rodney,,,los_angeles_california_usa,Los Angeles,California,U.S.,,,,
"London, England",,1981-11,CLR James Papers Box 2 Folder 15,,,,Lives in Brixton from 1981 to 1989,,,london_england,London,,U.K.,,,,
"San Fernando, Trinidad",,1982-01-18,CLR James Papers Box 2 Folder 15,,,,Letter dating from San Fernando also says that James has visa problems and is not sure when he can leave,,,san_fernando_trinidad,San Fernando,,Trinidad,,,,
"London, England",,1982-06,CLR James Papers Box 2 Folder 15,,,,Lives in Brixton from 1981 to 1989,,,london_england,London,,U.K.,,,,
"San Fernando, Trinidad",,1982-11-18,CLR James Papers Box 2 Folder 15,,,,A letter to Robert Hill is addressed from San Fernando,,,san_fernando_trinidad,San Fernando,,Trinidad,,,,
"London, England",,1983-05-18,CLR James Papers Box 2 Folder 15,,,,Lives in Brixton from 1981 to 1989,,,london_england,London,,U.K.,,,,
"Cambridge, England",,1983-10-27,CLR James Papers Box 10 Folder 11,,,,"Gives the lecture ""The Former Colonial World"" at the Cambridge University African Society",,,cambridge_england,Cambridge,,U.K.,,,,
"London, England",,1983,CLR James Papers Box 2 Folder 15,1984,,,Lives in Brixton from 1981 to 1989,,,london_england,,,,,,,
"New Brunswick, New Jersey, USA",,1984-02-18,CLR James Papers Box 1 Folder 11,,,,,,,new_brunswick_new_jersey_usa,New Brunswick,New Jersey,U.S.,,,,
"London, England",1983,,Worcester 209,,1989-05-31,,Lives in Brixton from 1981 to 1989. Dies on May 31 1989,,,london_england,London,,U.K.,,,,
