"Paris, France",1923-10,,Cooper 199,1924-01-07,1924-01,"Claude McKay letters and manuscripts, 1915-1952-Schomburg Center; Cooper 211",,paris_france
"Marseilles, France",1924-01,,Cooper 211,,1924-01,Cooper 211,,marseilles_france
"La Ciotat, France",,1924-02-04,"Cooper 211; Claude McKay letters and manuscripts, 1915-1952-Schomburg Center",1924-02-19,,"Claude McKay collection: additions, 1912-1953, Folder 1-Schomburg Center",,la_ciotat_france
"Toulon, France",,1924-03-01,"Claude McKay letters and manuscripts, 1915-1952-Schomburg Center",1924-09-02,,"Claude McKay collection : additions, 1912-1953, Folder 1-Schomburg Center",,toulon_france
"Paris, France",,1924-10-28,"Arthur A. Schomburg papers, 1724-1938, reel 4--Schomburg Center",,,,,paris_france
"Marseilles, France",1924,,Cooper 218,,1924,Cooper 218,,marseilles_france
"Bordeaux, France",1924,,Cooper 220,,1924,Cooper 220,,bordeaux_france
"Toulon, France",,1925-04-09,"Arthur A. Schomburg papers, 1724-1938, reel 4--Schomburg Center",1925-04-28,,"Arthur A. Schomburg papers, 1724-1938, reel 4--Schomburg Center",,toulon_france
"Marseilles, France",,1925-06-03,"Arthur A. Schomburg papers, 1724-1938, reel 4--Schomburg Center",,,,,marseilles_france
"Paris, France",,1925-06-09,"Arthur A. Schomburg papers, 1724-1938, reel 4--Schomburg Center",,,,,paris_france
"Brest, France",,1925-07-17,"Arthur A. Schomburg papers, 1724-1938, reel 4--Schomburg Center",1925-09-09,,"Cooper 224; Arthur A. Schomburg papers, 1724-1938, reel 4--Schomburg Center",,brest_france
"Paris, France",,1925-08-03,"Arthur A. Schomburg papers, 1724-1938, reel 4--Schomburg Center",,,,,paris_france
"Cap d'Antibes, France",1925-09,,Cooper 224,1925-10-15,,"Arthur A. Schomburg papers, 1724-1938, reel 4--Schomburg Center",,cap_d'antibes_france
"Nice, France",1925,,Cooper 224,1926-04-28,,"Arthur A. Schomburg papers, 1724-1938, reel 4--Schomburg Center",,nice_france
"Marseilles, France",,1926-07-14,"Arthur A. Schomburg papers, 1724-1938, reel 4--Schomburg Center",1926-08-28,,"Arthur A. Schomburg papers, 1724-1938, reel 4--Schomburg Center; Cooper 228",,marseilles_france
"Cap d'Antibes, France",1926,,,,1927-05,Cooper 236,,cap_d'antibes_france
"Marseilles, France",1927-05,,Cooper 236,,1928,Cooper 238,,marseilles_france
"Barcelona, Spain",1928,,Cooper 238,,1928-08,Cooper 249,,barcelona_spain
"Casablanca, Morocco",1928-08,,Cooper 249,,,,,casablanca_morocco
"Rabat, Morocco",,1928,,1928,,,,rabat_morocco
"Fes, Morocco",,1928,,1928,,,,fes_morocco
"Marrakesh, Morocco",,1928,,1928,,,,marrakesh_morocco
"Tangier, Morocco",1929-01,,Cooper 253,,1929-02,Cooper 259,,tangier_morocco
"Grenada, Spain",1929-02,,Cooper 260,,1929-03,,,grenada_spain
"Madrid, Spain",1929-03,,Cooper 260,,1929-04,Cooper 260,,madrid_spain
"Paris, France",1929-04,,Cooper 260,,1929-07,Cooper 260,,paris_france
"Antwerp, Belgium",1929-07,,Cooper 265,,1929-07,,,antwerp_belgium
"Paris, France",1929-07,,Cooper 265,,1929-08,Cooper 265,,paris_france
"Bilbao, Spain",1929-08,,Cooper 265,,1929-09,,,bilbao_spain
"San Sebastien, Spain",1929-09,,Cooper 265,,1929-09,,,san_sebastien_spain
"Madrid, Spain",1929-09,,Cooper 265,,1929-12,Cooper 266,,madrid_spain
"Barcelona, Spain",1929-12,,Cooper 266,,1930-03,Cooper 266,,barcelona_spain
"Valencia, Spain",1930-03,,Cooper 266,,1930-03,Cooper 266,,valencia_spain
"Barcelona, Spain",1930-03,,Cooper 266,,1930-06,Cooper 266,,barcelona_spain
"Berlin, Germany",1930-06,,Cooper 267,,1930,,,berlin_germany
"Paris, France",1930,,Cooper 268,,1930,,,paris_france
"Fes, Morocco",1930,,Cooper 269,,1930,,,fes_morocco
"Tangier, Morocco",1930,,Cooper 270,,1931,,,tangier_morocco
"Xauen, Morocco",1931,,Cooper 273,,1931,,,xauen_morocco
"Tangier, Morocco",1931,,Cooper 274,,1933-12,,,tangier_morocco
Spain,1933-12,,Cooper 289,,1934-01,Cooper 289,,spain
"New York, New York, USA",,1934-01-07,"Arthur A. Schomburg papers, 1724-1938, reel 4--Schomburg Center",,1934-10,Cooper 301,,new_york_new_york_usa
"New Paltz, New York, USA",1934-09-24,,"Arthur A. Schomburg papers, 1724-1938, reel 4--Schomburg Center",,1934-09-25,"Arthur A. Schomburg papers, 1724-1938, reel 4--Schomburg Center",stays at Lake Mohonk Mountain House for Lake Mohawk Conference,new_paltz_new_york_usa
"Chester, New York, USA",1934-10,,Cooper 301,,1934-12,Cooper 304,"unable to find employment, McKay enters Camp Greycourt, a former women's prison ""that had been converted the previous May to a place of rehabilitiation for the down-and-out of the city's municipal lodging houses"" (Cooper 301)",chester_new_york_usa
"New York, New York, USA",1934-12,,Cooper 304,,1941,Cooper 357,,new_york_new_york_usa
"North Wayne, Maine, USA",,1941-06-10,"Claude McKay research collection, 1971-1992, Folder 5--Schomburg Center",1941-06-24,,"Claude Mckay research collection, 1971-1992, Folder 5--Schomburg Center",,north_wayne_maine_usa
"New York, New York, USA",,1941-07-27,"Claude McKay letters and manuscripts, 1915-1952-Schomburg Center",1943,,Cooper 357,,new_york_new_york_usa
"New Milford, Connecticut, USA",,1943-08-19,"Claude McKay letters and manuscripts, 1915-1952-Schomburg Center",1943-10-28,,"Claude Mckay research collection, 1971-1992, Folder 5--Schomburg Center","suffers from a stroke while working as a riveter in a federal shipyard in Newark, New Jersey; spends the summer of 1943 recovering in a friend's Connecticut country cottage (Cooper 356-357).",new_milford_connecticut_usa
"New York, New York, USA",1943-10,,Cooper 358,,1944-04-15,Cooper 360,spends the end of 1943 recovering in the hospital and the 135th Street YMCA,new_york_new_york_usa
"Chicago, Illinois, USA",,1944-04-15,"Cooper 360; Claude McKay research collection, 1971-1992, Folder 5--Schomburg Center",1944-12-06,,"Claude McKay research collection, 1971-1992, Folder 5--Schomburg Center",,chicago_illinois_usa
"Milwaukee, Wisconsin, USA",1944-12,,Cooper 363,,1944-12,Cooper 363,lecture at Marquette University,milwaukee_wisconsin_usa
"Easton, Pennsylvania, USA",1944-12,,Cooper 363,,1944-12,Cooper 363,"""At the end of [December 1944], he journeyed to Easton, Pennsylvania for a retreat on Dorothy Day's nearby farm"" (Cooper 363)",easton_pennsylvania_usa
"New York, New York, USA",,1944-12-20,"Claude McKay research collection, 1971-1992, Folder 5--Schomburg Center",,,,,new_york_new_york_usa
"Morgantown, West Virginia, USA",1945-01,,Cooper 363,,1945-01,Cooper 363,lecture at West Virginia University,morgantown_west_virginia_usa
"Chicago, Illinois, USA",,1945-01-27,"Claude McKay research collection, 1971-1992, Folder 5--Schomburg Center
",,1946-05,Cooper 363,,chicago_illinois_usa
"Albuquerque, New Mexico, USA",1946-05,1946-06-03,"Cooper 363; Claude McKay research collection, 1971-1992, Folder 5--Schomburg Center",1946-08-25,1946-09,"Claude McKay research collection, 1971-1992, Folder 5--Schomburg Center; Cooper 365",,albuquerque_new_mexico_usa
"San Diego, California, USA",1946-09,1946-12-18,"Cooper 365; Claude McKay research collection, 1971-1992, Folder 5--Schomburg Center",1947-05-23,1947-07,"Claude McKay research collection, 1971-1992, Folder 5--Schomburg Center; Cooper 365",,san_diego_california_usa
"Chicago, Illinois, USA",1947-07,1947-11-27,"Cooper 365;  Claude McKay research collection, 1971-1992, Folder 5--Schomburg Center",,1948-05-22,Cooper 368,dies of congestive heart failure in the Alexian Brothers hospital,chicago_illinois_usa
