George Lamming,glamming,"novelist, essayist",,,,,,,,,
City,State/Province/County (optional),Country,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories
,,Trinidad,,,George Lamming Collection,,2000-01-06,,2000 appointment book. He is between Trinidad and Barbados this month - exact dates hard to infer,,
,,Barbados,2000-01-06,,George Lamming Collection,,2000-01-22,,2000 appointment book. He is between Trinidad and Barbados this month - exact dates hard to infer,,
New York,NY,USA,2000-01-23,,George Lamming Collection,,2000-01-30,,2000 appointment book,,
Boston,Massachussetts,USA,2000-01-30,,George Lamming Collection,,2000-02-01,,2000 appointment book,,
New York,NY,USA,2000-02-01,,George Lamming Collection,,2000-06-05,,2000 appointment book,,
Chicago,Illinois,USA,2000-06-05,,George Lamming Collection,,2000-06-09,,2000 appointment book,,
New York,NY,USA,2000-06-09,,George Lamming Collection,,2000-06-12,,"2000 appointment book, dates less clear",,
,,Barbados,2000-06-12,,George Lamming Collection,,2000-08-05,,2000 appointment book. By now Lamming is based in the Atlantis Hotel,,
Kingston,,Jamaica,2000-08-05,,George Lamming Collection,,2000-08-24,,"2000 appointment book, departure less clear",,
,,Trinidad,2000-08-24,,George Lamming Collection,,2000-09-01,,"2000 appointment book, destination less clear but prices begin appearing in TT",,
,,Barbados,2000-09-01,,George Lamming Collection,2000-12-31,,,2000 appointment book,,
,,Barbados,,2001,Schwarz 16,2002,,,"Assumed, as he was based in Barbados during this period",,
Toronto,,Canada,,2002,Chamberlain (in Schwarz) 89,,,,Lamming gives the 2002 Jagan lecture,,
,,Barbados,,2002-04-10,George Lamming Collection,,,,Photocopy of his passport. April 10th was the date the passport was issued (first stamp),,
,,Barbados,2002-10-06,,George Lamming Collection,,,,Passport stamp,,
Durham,North Carolina,U.S.A.,2003-01-05,,George Lamming Collection,,2003-05,,Lamming is the 2003 Semans Distinguished International Professor. Passport stamps confirm dates,,
,,Barbados,2003-05-08,,George Lamming Collection,,,,Passport stamp,,
Kingston/Mona,,Jamaica,2003-06-04,,Lamming Sovereignty 29,2003-06-07,,,"Gives lecture ""Sovereignty of the Imagination"" at conference in his honour hosted by the Centre for Caribbean Thought at UWI-Mona. Passport stamps give the dates",,
,,Barbados,2003-06-12,,George Lamming Collection,,,,Passport stamp,,
,,St. Maarten,2003-06-20,,George Lamming Collection,,,,Passport stamp,,
,,Barbados,2003-06-22,,George Lamming Collection,,,,Passport stamp,,
,,Barbados,2003-10-06,,George Lamming Collection,,,,Passport stamp,,
London,,U.K.,,2003-10-25,George Lamming Collection,,2003-11,,Materials in his uncatalogued collection (an email from Richard Drayton) give these dates for a visit that includes a talk,,
St. Augustine,,Trinidad,2004-01-06,,Lamming Sovereignty 81,,,,"Lamming gives lecture ""Language and the Politics of Ethnicity"" at UWI-St. Augustine. Passport stamp",,
,,Antigua,2004-01-15,,George Lamming Collection,,,,Passport stamp,,
,,Jamaica,2004-01-17,,George Lamming Collection,,,,Passport stamp,,
,,Barbados,,2004-05-17,George Lamming Collection,,,,Lamming gives a talk at Frank Collymore Hall,,
,,USA,2004-08-23,,George Lamming Collection,,,,Passport stamp (last stamp),,
Miami,Florida,USA,,2004-09-17,George Lamming Collection,,,,Lamming gives the Eric Williams Memorial Lecture at Florida International University,,
,,Barbados,,2004,Schwarz 16,,,,"Assumed, as he was based in Barbados during this period",,
Providence,Rhode Island,USA,2004-09,,George Lamming Collection,,,,Lamming is a Visiting Professor at Brown,,
New Orleans,Louisiana,USA,,2004-11-18,George Lamming Collection,,,,Lamming gives a talk at Dillard University,,
Providence,Rhode Island,USA,,,George Lamming Collection,,2004-12,,Lamming is a Visiting Professor at Brown,,
,,Barbados,,,,,2005-01-12,George Lamming Collection,Airline ticket,,
,,Trinidad,2005-01-12,,George Lamming Collection,,2005-01-18,,Airline ticket,,
,,Barbados,2005-01-18,,George Lamming Collection,,,George Lamming Collection,"Airline ticket, 2005 appointment book",,
,,Guyana,2005-06-02,,George Lamming Collection,,2005-06-14,,Lamming attends the Groundings conference on Walter Rodney in Guyana. He speaks on June 13,,
Providence,Rhode Island,USA,2005-08-15,,George Lamming Collection,,2005-11-04,,Materials in Lamming's uncatalogued archives suggest he was at Brown for this semester. Departure date from 2005 appointment book,,
Amherst,Massachussetts,USA,2005-11-04,,George Lamming Collection,,2005-11-06,,Lamming participates in a colloquium in honor of Antonio Benítez-Rojo. Dates from 2005 appointment book,,
Providence,Rhode Island,USA,2005-11-06,,George Lamming Collection,,2005-11-22,,2005 appointment book,,
Washington ,D.C.,USA,2005-11-22,,George Lamming Collection,,2005-11-25,,2005 appointment book,,
New York,NY,USA,2005-11-25,,George Lamming Collection,,2005-11-28,,2005 appointment book,,
Providence,Rhode Island,USA,2005-11-28,,George Lamming Collection,,2005-12-23,,2005 appointment book,,
,,Barbados,2005,,Schwarz 16,,2006-08-01,George Lamming Collection,"Flight itinerary gives departure date. 2006 appointment book not entirely clear about where he is for the first half of the year, but it could be Barbados",,
New York,N.Y.,USA,2006-08-01,,George Lamming Collection,,2006-08-05,,Flight itinerary,,
Providence,Rhode Island,USA,2006-08-05,,George Lamming Collection,,2006-12-22,,Flight itinerary,,
Paris,,France,2006-09-18,,George Lamming Collection,,2006-09-22,,Lamming is invited to an event on the 50th anniversary of the Congress of Black Writers. I don't think he attended based on the appointment book,,
,,Barbados,2006-12-22,,George Lamming Collection,,2007,Schwarz 16,"Flight itinerary, appointment book",,
Havana,,Cuba,2007-06-04,,George Lamming Collection,,2007-06-14,,George Lamming participates in a seminar in his honor at Casa de las Americas. The program of his activities is in his uncatalogued files,,
Cartagena,,Colombia,2007-07-30,,George Lamming Collection,,2007-08-03,,Lamming is invited to the VIII Seminario internacional de estudios del Caribe. Not sure if he attends,,
,,Barbados,,,George Lamming Collection,,2007-08-10,,Flight itinerary,,
New York,NY,USA,2007-08-10,,George Lamming Collection,,2007-08-15,,Flight itinerary,,
Providence,Rhode Island,USA,2007-08-15,,George Lamming Collection,,2007-12-20,,Flight itinerary,,
,,Barbados,2007-12-20,,George Lamming Collection,,2008,Schwarz 16,Flight itinerary,,
New Haven,Conneticut,USA,2008-10-30,,George Lamming Collection,,2008-10-31,,Hotel receipt from Yale,,
Providence,Rhode Island,USA,2008-09,,George Lamming Collection,,2008-12,,Materials suggest he is at Brown this semester,,
,,Barbados,,2008,George Lamming Collection,,,,"Assumed, as he was based in Barbados during this period",,
Treasure Beach/Montego Bay,,Jamaica,2009-05-21,,George Lamming Collection,,2009-05-24,,Lamming is at the Calabash literary festival,,
,,Barbados,2009-05-24,,George Lamming Collection,,2009-06-01,George Lamming Collection,Flight itinerary,,
Kingston,,Jamaica,2009-06-01,,George Lamming Collection,,2009-06-06,,Flight itinerary. Lamming is the Writer in Residence for the Caribbean Studies Association Conference,,
,,St. Maarten,2009-06-06,,George Lamming Collection,,,,Flight itinerary,,
,,Barbados,,2009,George Lamming Collection,,,,"Assumed, as he was based in Barbados during this period",,
,,Barbados,,2010-01-01,George Lamming Collection,,2010-06-02,,2010 appointment book,,
,,Grenada,2010-06-02,,George Lamming Collection,,2010-06-09,,2010 appointment book,,
,,Barbados,2010-06-09,,George Lamming Collection,,2010-08,,2010 appointment book,,
Providence,Rhode Island,USA,2010-08,,George Lamming Collection,,2010-12-27,,"2010 appointment book, arrival not clear but entries suggest he is teaching at Brown",,
,,Barbados,,2010,George Lamming Collection,,2011,,"Assumed, as he was based in Barbados during this period",,
Miami,Florida,USA,,2011-03-04,Panelist Bios,,,,Lamming is panelist at a symposium in honour of Sanda Pouchet Paquet,,
Havana,,Cuba,2011-05-05,,George Lamming Collection,,,,Lamming receives the Hibiscus Award from UNEAC,,
,,Barbados,2011,,George Lamming Collection,,2018,,"Assumed, as he was based in Barbados during this period. He currently lives in Barbados",,
